Timestamp,	Gyro_x,	Gyro_y,	Gyro_z,	Acc_x,	Acc_y,	Acc_z,	Orie_x,	Orie_y,	Orie_z,	Orie_w,	Temp_C
15:34:42.17,	-0.078,	-0.223,	0.054,	-0.700,	0.310,	0.440,	0.009,	-0.078,	0.484,	0.871,	7.00
15:34:42.21,	-0.087,	-0.210,	0.058,	-0.680,	0.310,	0.440,	0.010,	-0.078,	0.494,	0.866,	7.00
15:34:42.26,	-0.089,	-0.203,	0.059,	-0.660,	0.300,	0.460,	0.010,	-0.077,	0.501,	0.862,	7.00
15:34:42.30,	-0.083,	-0.200,	0.056,	-0.670,	0.310,	0.390,	0.011,	-0.077,	0.510,	0.857,	7.00
15:34:42.35,	-0.072,	-0.206,	0.051,	-0.680,	0.310,	0.340,	0.011,	-0.076,	0.510,	0.856,	7.00
15:34:42.40,	-0.072,	-0.207,	0.049,	-0.680,	0.290,	0.270,	0.012,	-0.076,	0.519,	0.852,	7.00
15:34:42.45,	-0.071,	-0.204,	0.051,	-0.670,	0.280,	0.270,	0.013,	-0.076,	0.526,	0.847,	7.00
15:34:42.49,	-0.064,	-0.196,	0.047,	-0.670,	0.280,	0.260,	0.014,	-0.075,	0.533,	0.843,	7.00
15:34:42.53,	-0.054,	-0.183,	0.046,	-0.670,	0.280,	0.280,	0.015,	-0.074,	0.540,	0.838,	7.00
15:34:42.58,	-0.057,	-0.171,	0.042,	-0.650,	0.250,	0.290,	0.015,	-0.073,	0.548,	0.833,	7.00
15:34:42.63,	-0.054,	-0.168,	0.043,	-0.630,	0.250,	0.280,	0.016,	-0.073,	0.555,	0.829,	7.00
15:34:42.67,	-0.044,	-0.171,	0.040,	-0.640,	0.240,	0.240,	0.017,	-0.072,	0.562,	0.824,	7.00
15:34:42.72,	-0.033,	-0.170,	0.037,	-0.620,	0.230,	0.190,	0.018,	-0.071,	0.567,	0.821,	7.00
15:34:42.76,	-0.022,	-0.164,	0.032,	-0.620,	0.210,	0.100,	0.018,	-0.071,	0.573,	0.816,	7.00
15:34:42.81,	-0.020,	-0.154,	0.032,	-0.620,	0.210,	0.110,	0.019,	-0.070,	0.579,	0.812,	7.00
15:34:42.86,	-0.014,	-0.139,	0.031,	-0.620,	0.190,	0.110,	0.020,	-0.068,	0.584,	0.809,	7.00
15:34:42.90,	-0.004,	-0.122,	0.027,	-0.600,	0.160,	0.150,	0.020,	-0.067,	0.584,	0.809,	7.00
15:34:42.95,	0.001,	-0.116,	0.028,	-0.570,	0.160,	0.110,	0.021,	-0.066,	0.588,	0.806,	7.00
15:34:43.00,	0.012,	-0.111,	0.024,	-0.570,	0.140,	0.090,	0.022,	-0.065,	0.592,	0.803,	7.00
15:34:43.05,	0.020,	-0.108,	0.020,	-0.560,	0.120,	0.030,	0.023,	-0.064,	0.597,	0.799,	7.00
15:34:43.10,	0.033,	-0.099,	0.019,	-0.560,	0.110,	-0.060,	0.024,	-0.063,	0.602,	0.796,	7.00
15:34:43.14,	0.041,	-0.087,	0.014,	-0.550,	0.070,	-0.100,	0.024,	-0.061,	0.604,	0.794,	7.00
15:34:43.19,	0.048,	-0.071,	0.016,	-0.550,	0.050,	-0.100,	0.025,	-0.060,	0.607,	0.792,	7.00
15:34:43.23,	0.049,	-0.056,	0.017,	-0.540,	0.010,	-0.080,	0.026,	-0.058,	0.611,	0.789,	7.00
15:34:43.28,	0.058,	-0.049,	0.013,	-0.490,	0.020,	-0.020,	0.026,	-0.057,	0.614,	0.787,	7.00
15:34:43.32,	0.064,	-0.040,	0.010,	-0.470,	-0.010,	-0.020,	0.027,	-0.055,	0.617,	0.785,	7.00
15:34:43.37,	0.077,	-0.041,	0.007,	-0.450,	-0.060,	-0.050,	0.028,	-0.054,	0.618,	0.783,	7.00
15:34:43.42,	0.082,	-0.034,	0.007,	-0.460,	-0.080,	-0.050,	0.029,	-0.052,	0.620,	0.782,	7.00
15:34:43.46,	0.082,	-0.028,	0.006,	-0.450,	-0.100,	-0.110,	0.030,	-0.050,	0.622,	0.781,	7.00
15:34:43.51,	0.088,	-0.013,	0.004,	-0.450,	-0.130,	-0.120,	0.030,	-0.049,	0.622,	0.781,	7.00
15:34:43.56,	0.093,	0.001,	0.002,	-0.390,	-0.180,	-0.120,	0.031,	-0.047,	0.622,	0.781,	7.00
15:34:43.61,	0.097,	0.009,	0.006,	-0.370,	-0.210,	-0.130,	0.031,	-0.045,	0.624,	0.780,	7.00
15:34:43.65,	0.093,	0.010,	0.004,	-0.360,	-0.230,	-0.070,	0.031,	-0.043,	0.624,	0.780,	7.00
15:34:43.69,	0.099,	0.008,	0.001,	-0.300,	-0.250,	-0.020,	0.032,	-0.041,	0.625,	0.779,	7.00
15:34:43.74,	0.103,	0.007,	0.001,	-0.290,	-0.290,	-0.050,	0.032,	-0.039,	0.625,	0.779,	7.00
15:34:43.79,	0.100,	0.018,	0.004,	-0.270,	-0.310,	-0.050,	0.032,	-0.038,	0.626,	0.779,	7.00
