Timestamp,	Gyro_x,	Gyro_y,	Gyro_z,	Acc_x,	Acc_y,	Acc_z,	Orie_x,	Orie_y,	Orie_z,	Orie_w,	Temp_C
15:30:36.97,	0.036,	-0.066,	-0.294,	-0.200,	0.200,	-0.950,	-0.017,	0.045,	-0.790,	-0.611,	7.00
15:30:37.01,	0.034,	-0.064,	-0.296,	-0.220,	0.190,	-0.960,	-0.019,	0.045,	-0.788,	-0.614,	7.00
15:30:37.06,	0.038,	-0.059,	-0.296,	-0.240,	0.170,	-0.970,	-0.021,	0.044,	-0.786,	-0.616,	7.00
15:30:37.10,	0.044,	-0.061,	-0.299,	-0.270,	0.130,	-0.930,	-0.023,	0.044,	-0.783,	-0.620,	7.00
15:30:37.15,	0.064,	-0.063,	-0.307,	-0.300,	0.070,	-0.940,	-0.025,	0.043,	-0.779,	-0.625,	7.00
15:30:37.20,	0.073,	-0.067,	-0.308,	-0.310,	0.020,	-0.940,	-0.027,	0.043,	-0.775,	-0.630,	7.00
15:30:37.25,	0.072,	-0.073,	-0.309,	-0.330,	-0.010,	-0.930,	-0.029,	0.042,	-0.772,	-0.634,	7.00
15:30:37.29,	0.076,	-0.079,	-0.306,	-0.350,	-0.060,	-0.860,	-0.031,	0.041,	-0.768,	-0.638,	7.00
15:30:37.34,	0.092,	-0.088,	-0.310,	-0.390,	-0.080,	-0.860,	-0.034,	0.040,	-0.764,	-0.643,	7.00
15:30:37.39,	0.100,	-0.097,	-0.312,	-0.400,	-0.130,	-0.850,	-0.036,	0.039,	-0.759,	-0.649,	7.00
15:30:37.43,	0.096,	-0.097,	-0.313,	-0.420,	-0.200,	-0.790,	-0.037,	0.039,	-0.755,	-0.653,	7.00
15:30:37.48,	0.102,	-0.091,	-0.313,	-0.440,	-0.210,	-0.780,	-0.039,	0.038,	-0.751,	-0.658,	7.00
15:30:37.53,	0.118,	-0.081,	-0.314,	-0.440,	-0.250,	-0.730,	-0.041,	0.036,	-0.746,	-0.663,	7.00
15:30:37.57,	0.129,	-0.083,	-0.319,	-0.410,	-0.310,	-0.650,	-0.042,	0.035,	-0.742,	-0.668,	7.00
15:30:37.62,	0.124,	-0.097,	-0.317,	-0.420,	-0.370,	-0.640,	-0.043,	0.034,	-0.735,	-0.675,	7.00
15:30:37.67,	0.127,	-0.113,	-0.313,	-0.430,	-0.380,	-0.560,	-0.044,	0.034,	-0.730,	-0.681,	7.00
15:30:37.72,	0.134,	-0.116,	-0.319,	-0.440,	-0.390,	-0.510,	-0.045,	0.034,	-0.725,	-0.686,	7.00
15:30:37.76,	0.150,	-0.111,	-0.321,	-0.440,	-0.470,	-0.450,	-0.046,	0.033,	-0.718,	-0.693,	7.00
15:30:37.81,	0.148,	-0.099,	-0.317,	-0.430,	-0.480,	-0.370,	-0.047,	0.032,	-0.711,	-0.701,	7.00
15:30:37.86,	0.146,	-0.096,	-0.317,	-0.420,	-0.510,	-0.300,	-0.047,	0.032,	-0.704,	-0.708,	7.00
15:30:37.91,	0.157,	-0.099,	-0.318,	-0.400,	-0.530,	-0.260,	-0.047,	0.031,	-0.696,	-0.716,	7.00
15:30:37.95,	0.164,	-0.108,	-0.317,	-0.400,	-0.540,	-0.200,	-0.048,	0.031,	-0.692,	-0.720,	7.00
15:30:38.00,	0.166,	-0.116,	-0.317,	-0.390,	-0.570,	-0.140,	-0.048,	0.031,	-0.684,	-0.727,	7.00
15:30:38.05,	0.162,	-0.112,	-0.316,	-0.390,	-0.580,	-0.090,	-0.049,	0.031,	-0.676,	-0.735,	7.00
15:30:38.10,	0.168,	-0.104,	-0.317,	-0.390,	-0.590,	-0.080,	-0.049,	0.031,	-0.667,	-0.743,	7.00
15:30:38.15,	0.171,	-0.096,	-0.314,	-0.370,	-0.610,	0.050,	-0.049,	0.030,	-0.658,	-0.751,	7.00
15:30:38.19,	0.172,	-0.092,	-0.316,	-0.350,	-0.650,	0.150,	-0.048,	0.030,	-0.649,	-0.759,	7.00
15:30:38.24,	0.169,	-0.090,	-0.311,	-0.320,	-0.650,	0.190,	-0.048,	0.030,	-0.640,	-0.767,	7.00
15:30:38.29,	0.169,	-0.093,	-0.311,	-0.320,	-0.630,	0.240,	-0.048,	0.030,	-0.629,	-0.775,	7.00
15:30:38.33,	0.171,	-0.090,	-0.310,	-0.300,	-0.640,	0.290,	-0.047,	0.030,	-0.620,	-0.783,	7.00
15:30:38.38,	0.177,	-0.090,	-0.311,	-0.310,	-0.670,	0.290,	-0.047,	0.031,	-0.609,	-0.791,	7.00
15:30:38.42,	0.173,	-0.086,	-0.311,	-0.290,	-0.690,	0.330,	-0.047,	0.031,	-0.600,	-0.798,	7.00
15:30:38.47,	0.164,	-0.077,	-0.307,	-0.270,	-0.680,	0.330,	-0.046,	0.031,	-0.588,	-0.807,	7.00
15:30:38.51,	0.164,	-0.070,	-0.307,	-0.260,	-0.690,	0.340,	-0.045,	0.031,	-0.576,	-0.816,	7.00
15:30:38.56,	0.172,	-0.069,	-0.307,	-0.260,	-0.690,	0.370,	-0.045,	0.031,	-0.571,	-0.819,	7.00
15:30:38.61,	0.170,	-0.064,	-0.306,	-0.250,	-0.700,	0.400,	-0.044,	0.031,	-0.559,	-0.827,	7.00
15:30:38.65,	0.161,	-0.066,	-0.303,	-0.230,	-0.690,	0.390,	-0.044,	0.031,	-0.549,	-0.834,	7.00
15:30:38.70,	0.164,	-0.067,	-0.306,	-0.220,	-0.700,	0.410,	-0.043,	0.031,	-0.536,	-0.842,	7.00
15:30:38.75,	0.173,	-0.062,	-0.306,	-0.220,	-0.680,	0.410,	-0.042,	0.032,	-0.525,	-0.849,	7.00
15:30:38.79,	0.166,	-0.053,	-0.303,	-0.190,	-0.710,	0.420,	-0.042,	0.032,	-0.515,	-0.856,	7.00
15:30:38.84,	0.154,	-0.039,	-0.301,	-0.160,	-0.680,	0.470,	-0.041,	0.032,	-0.503,	-0.863,	7.00
15:30:38.89,	0.159,	-0.039,	-0.300,	-0.180,	-0.680,	0.470,	-0.040,	0.031,	-0.493,	-0.869,	7.00
15:30:38.94,	0.164,	-0.044,	-0.304,	-0.140,	-0.680,	0.430,	-0.040,	0.031,	-0.481,	-0.875,	7.00
15:30:38.98,	0.162,	-0.048,	-0.302,	-0.140,	-0.710,	0.430,	-0.039,	0.032,	-0.469,	-0.881,	7.00
15:30:39.03,	0.157,	-0.039,	-0.303,	-0.150,	-0.680,	0.410,	-0.038,	0.032,	-0.459,	-0.887,	7.00
15:30:39.08,	0.158,	-0.031,	-0.303,	-0.140,	-0.670,	0.390,	-0.038,	0.032,	-0.449,	-0.892,	7.00
15:30:39.12,	0.159,	-0.023,	-0.302,	-0.130,	-0.690,	0.370,	-0.037,	0.031,	-0.439,	-0.897,	7.00
15:30:39.17,	0.159,	-0.020,	-0.301,	-0.090,	-0.680,	0.380,	-0.037,	0.031,	-0.429,	-0.902,	7.00
15:30:39.22,	0.152,	-0.021,	-0.299,	-0.100,	-0.700,	0.370,	-0.036,	0.031,	-0.419,	-0.907,	7.00
15:30:39.26,	0.153,	-0.024,	-0.301,	-0.100,	-0.680,	0.370,	-0.035,	0.031,	-0.414,	-0.909,	7.00
15:30:39.31,	0.154,	-0.026,	-0.304,	-0.070,	-0.690,	0.370,	-0.035,	0.031,	-0.404,	-0.914,	7.00
15:30:39.36,	0.157,	-0.019,	-0.307,	-0.080,	-0.700,	0.340,	-0.035,	0.031,	-0.395,	-0.917,	7.00
15:30:39.41,	0.150,	-0.014,	-0.303,	-0.060,	-0.680,	0.310,	-0.034,	0.031,	-0.385,	-0.922,	7.00
15:30:39.46,	0.142,	-0.013,	-0.300,	-0.040,	-0.680,	0.270,	-0.033,	0.031,	-0.375,	-0.926,	7.00
15:30:39.51,	0.142,	-0.008,	-0.303,	-0.040,	-0.670,	0.250,	-0.032,	0.031,	-0.365,	-0.930,	7.00
15:30:39.55,	0.141,	-0.007,	-0.302,	-0.030,	-0.670,	0.190,	-0.032,	0.031,	-0.356,	-0.933,	7.00
15:30:39.60,	0.137,	-0.007,	-0.302,	-0.010,	-0.670,	0.170,	-0.031,	0.031,	-0.348,	-0.937,	7.00
15:30:39.64,	0.134,	-0.011,	-0.303,	-0.030,	-0.670,	0.140,	-0.030,	0.031,	-0.340,	-0.940,	7.00
15:30:39.69,	0.133,	-0.011,	-0.304,	-0.040,	-0.650,	0.100,	-0.030,	0.031,	-0.330,	-0.943,	7.00
15:30:39.73,	0.129,	-0.013,	-0.302,	-0.030,	-0.650,	0.070,	-0.029,	0.031,	-0.322,	-0.946,	7.00
15:30:39.78,	0.122,	-0.010,	-0.300,	-0.040,	-0.640,	0.020,	-0.029,	0.031,	-0.316,	-0.948,	7.00
15:30:39.83,	0.116,	-0.006,	-0.299,	-0.030,	-0.650,	-0.040,	-0.028,	0.031,	-0.308,	-0.951,	7.00
15:30:39.88,	0.111,	-0.004,	-0.299,	-0.020,	-0.610,	-0.060,	-0.027,	0.031,	-0.300,	-0.953,	7.00
15:30:39.92,	0.106,	-0.009,	-0.298,	-0.020,	-0.610,	-0.130,	-0.026,	0.031,	-0.293,	-0.955,	7.00
15:30:39.97,	0.104,	-0.016,	-0.298,	-0.040,	-0.630,	-0.180,	-0.026,	0.032,	-0.287,	-0.957,	7.00
15:30:40.02,	0.099,	-0.016,	-0.294,	-0.030,	-0.610,	-0.270,	-0.025,	0.032,	-0.278,	-0.960,	7.00
15:30:40.06,	0.089,	-0.009,	-0.293,	-0.030,	-0.580,	-0.320,	-0.024,	0.032,	-0.271,	-0.962,	7.00
15:30:40.11,	0.083,	-0.013,	-0.289,	-0.060,	-0.570,	-0.360,	-0.023,	0.033,	-0.264,	-0.964,	7.00
15:30:40.15,	0.082,	-0.012,	-0.284,	-0.040,	-0.550,	-0.430,	-0.023,	0.033,	-0.258,	-0.965,	7.00
15:30:40.20,	0.072,	-0.014,	-0.286,	-0.060,	-0.570,	-0.510,	-0.022,	0.033,	-0.250,	-0.967,	7.00
15:30:40.28,	0.053,	-0.013,	-0.277,	-0.080,	-0.510,	-0.560,	-0.020,	0.034,	-0.238,	-0.971,	7.00
15:30:40.33,	0.053,	-0.016,	-0.277,	-0.070,	-0.500,	-0.610,	-0.019,	0.034,	-0.233,	-0.972,	7.00
15:30:40.37,	0.047,	-0.020,	-0.274,	-0.080,	-0.500,	-0.670,	-0.018,	0.035,	-0.226,	-0.973,	7.00
15:30:40.42,	0.037,	-0.022,	-0.271,	-0.080,	-0.480,	-0.760,	-0.017,	0.035,	-0.219,	-0.975,	7.00
15:30:40.47,	0.027,	-0.020,	-0.270,	-0.110,	-0.460,	-0.780,	-0.016,	0.036,	-0.213,	-0.976,	7.00
15:30:40.52,	0.016,	-0.009,	-0.264,	-0.100,	-0.440,	-0.820,	-0.015,	0.036,	-0.208,	-0.977,	7.00
15:30:40.57,	0.004,	-0.004,	-0.262,	-0.110,	-0.430,	-0.810,	-0.013,	0.036,	-0.202,	-0.979,	7.00
15:30:40.62,	-0.002,	-0.009,	-0.260,	-0.100,	-0.390,	-0.810,	-0.012,	0.036,	-0.196,	-0.980,	7.00
15:30:40.66,	-0.007,	-0.017,	-0.258,	-0.100,	-0.380,	-0.820,	-0.011,	0.036,	-0.192,	-0.981,	7.00
15:30:40.71,	-0.019,	-0.014,	-0.257,	-0.100,	-0.360,	-0.850,	-0.010,	0.037,	-0.186,	-0.982,	7.00
15:30:40.76,	-0.027,	-0.008,	-0.251,	-0.110,	-0.340,	-0.880,	-0.008,	0.037,	-0.180,	-0.983,	7.00
15:30:40.81,	-0.033,	0.002,	-0.249,	-0.100,	-0.310,	-0.870,	-0.007,	0.037,	-0.174,	-0.984,	7.00
15:30:40.86,	-0.047,	0.009,	-0.243,	-0.100,	-0.290,	-0.900,	-0.005,	0.037,	-0.168,	-0.985,	7.00
15:30:40.90,	-0.064,	0.006,	-0.236,	-0.090,	-0.240,	-0.890,	-0.004,	0.038,	-0.164,	-0.986,	7.00
15:30:40.95,	-0.074,	0.006,	-0.233,	-0.090,	-0.210,	-0.880,	-0.002,	0.038,	-0.158,	-0.987,	7.00
15:30:41.00,	-0.068,	0.007,	-0.233,	-0.110,	-0.190,	-0.880,	0.000,	0.038,	-0.153,	-0.987,	7.00
15:30:41.04,	-0.077,	0.010,	-0.228,	-0.090,	-0.160,	-0.880,	0.002,	0.038,	-0.148,	-0.988,	7.00
15:30:41.09,	-0.092,	0.019,	-0.227,	-0.080,	-0.120,	-0.860,	0.004,	0.038,	-0.143,	-0.989,	7.00
15:30:41.14,	-0.094,	0.020,	-0.223,	-0.090,	-0.090,	-0.890,	0.006,	0.038,	-0.139,	-0.990,	7.00
15:30:41.18,	-0.096,	0.021,	-0.219,	-0.070,	-0.030,	-0.880,	0.008,	0.038,	-0.133,	-0.990,	7.00
15:30:41.23,	-0.113,	0.021,	-0.217,	-0.040,	0.000,	-0.900,	0.010,	0.038,	-0.128,	-0.991,	7.00
15:30:41.28,	-0.127,	0.021,	-0.212,	-0.080,	0.060,	-0.900,	0.013,	0.038,	-0.123,	-0.992,	7.00
15:30:41.33,	-0.126,	0.023,	-0.211,	-0.070,	0.090,	-0.940,	0.016,	0.038,	-0.118,	-0.992,	7.00
15:30:41.37,	-0.118,	0.030,	-0.213,	-0.050,	0.140,	-0.930,	0.018,	0.037,	-0.114,	-0.993,	7.00
15:30:41.42,	-0.128,	0.031,	-0.210,	-0.040,	0.160,	-0.900,	0.021,	0.037,	-0.109,	-0.993,	7.00
15:30:41.47,	-0.141,	0.028,	-0.206,	0.000,	0.250,	-0.860,	0.023,	0.037,	-0.105,	-0.994,	7.00
15:30:41.52,	-0.139,	0.018,	-0.206,	-0.050,	0.270,	-0.880,	0.026,	0.037,	-0.100,	-0.994,	7.00
15:30:41.56,	-0.137,	0.026,	-0.203,	-0.040,	0.320,	-0.900,	0.029,	0.037,	-0.095,	-0.994,	7.00
15:30:41.61,	-0.149,	0.036,	-0.201,	-0.020,	0.380,	-0.920,	0.031,	0.037,	-0.091,	-0.995,	7.00
15:30:41.66,	-0.160,	0.039,	-0.196,	-0.020,	0.420,	-0.960,	0.033,	0.036,	-0.086,	-0.995,	7.00
15:30:41.70,	-0.146,	0.034,	-0.201,	0.000,	0.460,	-1.020,	0.035,	0.036,	-0.081,	-0.995,	7.00
15:30:41.75,	-0.136,	0.027,	-0.201,	0.000,	0.470,	-0.990,	0.037,	0.036,	-0.077,	-0.996,	7.00
15:30:41.79,	-0.147,	0.023,	-0.198,	-0.040,	0.490,	-1.030,	0.039,	0.036,	-0.072,	-0.996,	7.00
15:30:41.84,	-0.159,	0.031,	-0.193,	-0.030,	0.530,	-1.060,	0.040,	0.036,	-0.068,	-0.996,	7.00
15:30:41.89,	-0.151,	0.041,	-0.194,	0.000,	0.590,	-1.070,	0.042,	0.035,	-0.066,	-0.996,	7.00
15:30:41.93,	-0.146,	0.044,	-0.193,	-0.010,	0.560,	-1.100,	0.043,	0.035,	-0.063,	-0.996,	7.00
15:30:41.98,	-0.154,	0.039,	-0.189,	-0.010,	0.600,	-1.090,	0.044,	0.035,	-0.059,	-0.997,	7.00
15:30:42.02,	-0.156,	0.037,	-0.186,	-0.020,	0.630,	-1.160,	0.045,	0.035,	-0.058,	-0.997,	7.00
15:30:42.07,	-0.152,	0.037,	-0.187,	-0.010,	0.660,	-1.200,	0.046,	0.034,	-0.055,	-0.997,	7.00
15:30:42.12,	-0.148,	0.046,	-0.186,	-0.010,	0.660,	-1.230,	0.047,	0.034,	-0.051,	-0.997,	7.00
15:30:42.16,	-0.148,	0.042,	-0.182,	0.000,	0.670,	-1.220,	0.047,	0.034,	-0.049,	-0.997,	7.00
15:30:42.21,	-0.156,	0.038,	-0.182,	0.000,	0.660,	-1.190,	0.048,	0.033,	-0.046,	-0.997,	7.00
15:30:42.26,	-0.159,	0.034,	-0.177,	-0.010,	0.690,	-1.210,	0.048,	0.033,	-0.043,	-0.997,	7.00
15:30:42.31,	-0.163,	0.039,	-0.174,	0.000,	0.720,	-1.150,	0.049,	0.033,	-0.039,	-0.997,	7.00
15:30:42.36,	-0.163,	0.046,	-0.173,	0.000,	0.710,	-1.160,	0.049,	0.033,	-0.037,	-0.998,	7.00
15:30:42.40,	-0.173,	0.057,	-0.171,	0.010,	0.700,	-1.100,	0.050,	0.032,	-0.033,	-0.998,	7.00
15:30:42.45,	-0.174,	0.051,	-0.164,	0.030,	0.730,	-1.090,	0.051,	0.032,	-0.029,	-0.998,	7.00
15:30:42.49,	-0.173,	0.042,	-0.166,	0.040,	0.740,	-1.080,	0.051,	0.031,	-0.027,	-0.998,	7.00
15:30:42.54,	-0.176,	0.034,	-0.162,	0.020,	0.720,	-1.030,	0.051,	0.031,	-0.024,	-0.998,	7.00
15:30:42.58,	-0.193,	0.036,	-0.157,	0.010,	0.720,	-1.040,	0.052,	0.031,	-0.021,	-0.998,	7.00
15:30:42.64,	-0.204,	0.042,	-0.151,	0.000,	0.750,	-0.980,	0.053,	0.031,	-0.018,	-0.998,	7.00
15:30:42.71,	-0.202,	0.046,	-0.151,	0.060,	0.790,	-0.870,	0.053,	0.031,	-0.014,	-0.998,	7.00
15:30:42.76,	-0.210,	0.043,	-0.147,	0.050,	0.770,	-0.830,	0.054,	0.031,	-0.011,	-0.998,	7.00
15:30:42.81,	-0.221,	0.032,	-0.141,	0.070,	0.790,	-0.790,	0.055,	0.031,	-0.008,	-0.998,	7.00
15:30:42.85,	-0.229,	0.034,	-0.139,	0.040,	0.820,	-0.730,	0.055,	0.031,	-0.005,	-0.998,	7.00
15:30:42.90,	-0.223,	0.029,	-0.137,	0.050,	0.840,	-0.700,	0.056,	0.031,	-0.002,	-0.998,	7.00
15:30:42.94,	-0.233,	0.027,	-0.133,	0.030,	0.820,	-0.660,	0.056,	0.031,	-0.001,	-0.998,	7.00
15:30:42.99,	-0.244,	0.024,	-0.129,	0.040,	0.840,	-0.660,	0.057,	0.031,	0.002,	-0.998,	7.00
15:30:43.03,	-0.249,	0.022,	-0.129,	0.040,	0.860,	-0.630,	0.057,	0.032,	0.005,	-0.998,	7.00
15:30:43.09,	-0.244,	0.021,	-0.126,	0.030,	0.850,	-0.530,	0.058,	0.032,	0.008,	-0.998,	7.00
15:30:43.13,	-0.249,	0.021,	-0.127,	0.030,	0.840,	-0.480,	0.058,	0.032,	0.010,	-0.998,	7.00
15:30:43.17,	-0.258,	0.021,	-0.122,	0.030,	0.880,	-0.420,	0.059,	0.032,	0.013,	-0.998,	7.00
15:30:43.22,	-0.254,	0.010,	-0.120,	0.020,	0.880,	-0.390,	0.059,	0.032,	0.015,	-0.998,	7.00
15:30:43.26,	-0.254,	0.000,	-0.120,	0.000,	0.880,	-0.360,	0.059,	0.033,	0.018,	-0.997,	7.00
15:30:43.31,	-0.260,	0.000,	-0.116,	0.010,	0.870,	-0.330,	0.060,	0.033,	0.021,	-0.997,	7.00
15:30:43.35,	-0.261,	0.004,	-0.114,	0.000,	0.900,	-0.350,	0.060,	0.034,	0.024,	-0.997,	7.00
15:30:43.40,	-0.251,	0.006,	-0.112,	0.000,	0.890,	-0.340,	0.060,	0.034,	0.026,	-0.997,	7.00
15:30:43.45,	-0.249,	0.011,	-0.116,	0.000,	0.880,	-0.270,	0.061,	0.034,	0.030,	-0.997,	7.00
15:30:43.49,	-0.256,	0.007,	-0.111,	-0.020,	0.880,	-0.240,	0.061,	0.034,	0.033,	-0.997,	7.00
15:30:43.54,	-0.253,	-0.010,	-0.111,	-0.010,	0.920,	-0.180,	0.061,	0.034,	0.035,	-0.997,	7.00
15:30:43.59,	-0.241,	-0.018,	-0.114,	0.000,	0.900,	-0.110,	0.061,	0.035,	0.038,	-0.997,	7.00
15:30:43.64,	-0.239,	-0.023,	-0.111,	-0.020,	0.890,	-0.040,	0.061,	0.035,	0.041,	-0.997,	7.00
15:30:43.68,	-0.239,	-0.014,	-0.108,	-0.030,	0.910,	-0.030,	0.061,	0.036,	0.044,	-0.997,	7.00
15:30:43.73,	-0.223,	-0.009,	-0.111,	-0.030,	0.910,	-0.020,	0.060,	0.036,	0.047,	-0.996,	7.00
15:30:43.78,	-0.213,	-0.009,	-0.110,	-0.020,	0.860,	-0.010,	0.060,	0.036,	0.050,	-0.996,	7.00
15:30:43.82,	-0.217,	-0.016,	-0.108,	-0.020,	0.850,	0.000,	0.060,	0.036,	0.053,	-0.996,	7.00
15:30:43.87,	-0.207,	-0.024,	-0.111,	-0.060,	0.870,	0.020,	0.059,	0.036,	0.055,	-0.996,	7.00
15:30:43.92,	-0.190,	-0.032,	-0.110,	-0.070,	0.850,	0.070,	0.059,	0.037,	0.058,	-0.996,	7.00
15:30:43.97,	-0.183,	-0.031,	-0.111,	-0.090,	0.850,	0.100,	0.058,	0.037,	0.061,	-0.996,	7.00
15:30:44.01,	-0.181,	-0.030,	-0.109,	-0.080,	0.820,	0.100,	0.058,	0.038,	0.063,	-0.996,	7.00
15:30:44.06,	-0.167,	-0.026,	-0.109,	-0.080,	0.810,	0.140,	0.057,	0.038,	0.066,	-0.995,	7.00
15:30:44.11,	-0.151,	-0.028,	-0.112,	-0.100,	0.790,	0.150,	0.056,	0.038,	0.069,	-0.995,	7.00
15:30:44.15,	-0.146,	-0.028,	-0.112,	-0.090,	0.780,	0.100,	0.055,	0.039,	0.072,	-0.995,	7.00
15:30:44.20,	-0.146,	-0.032,	-0.109,	-0.110,	0.750,	0.110,	0.055,	0.039,	0.075,	-0.995,	7.00
15:30:44.24,	-0.129,	-0.039,	-0.112,	-0.120,	0.740,	0.080,	0.054,	0.039,	0.077,	-0.995,	7.00
15:30:44.29,	-0.113,	-0.044,	-0.116,	-0.110,	0.730,	0.080,	0.053,	0.040,	0.079,	-0.995,	7.00
15:30:44.34,	-0.107,	-0.043,	-0.112,	-0.130,	0.680,	0.110,	0.052,	0.040,	0.082,	-0.994,	7.00
15:30:44.38,	-0.106,	-0.043,	-0.112,	-0.150,	0.680,	0.100,	0.051,	0.041,	0.085,	-0.994,	7.00
15:30:44.42,	-0.093,	-0.038,	-0.113,	-0.160,	0.660,	0.120,	0.050,	0.041,	0.087,	-0.994,	7.00
15:30:44.47,	-0.079,	-0.036,	-0.116,	-0.160,	0.630,	0.120,	0.049,	0.041,	0.090,	-0.994,	7.00
15:30:44.52,	-0.077,	-0.043,	-0.113,	-0.170,	0.600,	0.130,	0.048,	0.042,	0.092,	-0.994,	7.00
15:30:44.56,	-0.073,	-0.053,	-0.113,	-0.170,	0.580,	0.050,	0.047,	0.042,	0.095,	-0.993,	7.00
15:30:44.61,	-0.064,	-0.059,	-0.114,	-0.220,	0.550,	0.040,	0.046,	0.043,	0.098,	-0.993,	7.00
15:30:44.66,	-0.054,	-0.060,	-0.119,	-0.220,	0.510,	0.020,	0.045,	0.043,	0.100,	-0.993,	7.00
15:30:44.70,	-0.052,	-0.054,	-0.116,	-0.240,	0.490,	0.030,	0.044,	0.044,	0.103,	-0.993,	7.00
15:30:44.75,	-0.049,	-0.053,	-0.113,	-0.240,	0.490,	0.050,	0.043,	0.044,	0.106,	-0.992,	7.00
15:30:44.80,	-0.041,	-0.053,	-0.116,	-0.230,	0.460,	0.090,	0.042,	0.045,	0.108,	-0.992,	7.00
15:30:44.85,	-0.038,	-0.059,	-0.117,	-0.240,	0.430,	0.080,	0.041,	0.045,	0.111,	-0.992,	7.00
15:30:44.89,	-0.040,	-0.067,	-0.117,	-0.260,	0.410,	0.080,	0.040,	0.046,	0.113,	-0.992,	7.00
15:30:44.94,	-0.033,	-0.074,	-0.116,	-0.260,	0.400,	0.110,	0.039,	0.047,	0.116,	-0.991,	7.00
15:30:45.02,	-0.023,	-0.079,	-0.119,	-0.290,	0.350,	0.090,	0.038,	0.048,	0.120,	-0.991,	7.00
15:30:45.06,	-0.024,	-0.080,	-0.116,	-0.300,	0.320,	0.110,	0.037,	0.049,	0.123,	-0.991,	7.00
15:30:45.11,	-0.022,	-0.076,	-0.114,	-0.310,	0.320,	0.130,	0.036,	0.049,	0.125,	-0.990,	7.00
15:30:45.16,	-0.018,	-0.076,	-0.118,	-0.320,	0.290,	0.140,	0.035,	0.050,	0.128,	-0.990,	7.00
15:30:45.20,	-0.011,	-0.081,	-0.119,	-0.340,	0.250,	0.170,	0.034,	0.050,	0.131,	-0.990,	7.00
15:30:45.25,	-0.016,	-0.089,	-0.116,	-0.330,	0.250,	0.200,	0.034,	0.051,	0.133,	-0.989,	7.00
15:30:45.30,	-0.014,	-0.093,	-0.118,	-0.360,	0.230,	0.160,	0.033,	0.052,	0.136,	-0.989,	7.00
15:30:45.34,	-0.011,	-0.098,	-0.118,	-0.370,	0.190,	0.160,	0.032,	0.053,	0.138,	-0.989,	7.00
15:30:45.39,	-0.006,	-0.091,	-0.120,	-0.400,	0.180,	0.100,	0.032,	0.053,	0.141,	-0.988,	7.00
15:30:45.43,	-0.002,	-0.090,	-0.118,	-0.390,	0.170,	0.100,	0.031,	0.054,	0.143,	-0.988,	7.00
15:30:45.48,	0.001,	-0.082,	-0.121,	-0.420,	0.150,	0.110,	0.030,	0.054,	0.146,	-0.987,	7.00
15:30:45.52,	0.003,	-0.089,	-0.120,	-0.430,	0.140,	0.110,	0.029,	0.055,	0.149,	-0.987,	7.00
15:30:45.57,	0.003,	-0.090,	-0.120,	-0.420,	0.100,	0.120,	0.029,	0.055,	0.151,	-0.987,	7.00
15:30:45.62,	0.001,	-0.097,	-0.120,	-0.440,	0.110,	0.130,	0.028,	0.056,	0.154,	-0.986,	7.00
15:30:45.66,	0.008,	-0.099,	-0.124,	-0.450,	0.070,	0.110,	0.028,	0.056,	0.156,	-0.986,	7.00
15:30:45.71,	0.016,	-0.098,	-0.127,	-0.480,	0.060,	0.070,	0.027,	0.057,	0.159,	-0.985,	7.00
15:30:45.76,	0.016,	-0.087,	-0.124,	-0.490,	0.040,	0.050,	0.026,	0.057,	0.162,	-0.985,	7.00
15:30:45.80,	0.017,	-0.077,	-0.122,	-0.470,	0.060,	0.010,	0.025,	0.057,	0.164,	-0.984,	7.00
15:30:45.85,	0.022,	-0.077,	-0.126,	-0.480,	0.030,	-0.010,	0.025,	0.057,	0.167,	-0.984,	7.00
15:30:45.90,	0.029,	-0.079,	-0.127,	-0.480,	0.000,	-0.070,	0.024,	0.057,	0.165,	-0.984,	7.00
15:30:45.95,	0.031,	-0.082,	-0.131,	-0.480,	-0.020,	-0.080,	0.023,	0.057,	0.164,	-0.985,	7.00
15:30:45.99,	0.028,	-0.080,	-0.128,	-0.500,	-0.040,	-0.150,	0.022,	0.058,	0.163,	-0.985,	7.00
15:30:46.04,	0.029,	-0.077,	-0.126,	-0.480,	-0.040,	-0.170,	0.021,	0.058,	0.162,	-0.985,	7.00
15:30:46.08,	0.032,	-0.063,	-0.129,	-0.490,	-0.070,	-0.170,	0.020,	0.058,	0.161,	-0.985,	7.00
15:30:46.13,	0.043,	-0.059,	-0.129,	-0.500,	-0.060,	-0.230,	0.019,	0.058,	0.159,	-0.985,	7.00
15:30:46.17,	0.048,	-0.052,	-0.131,	-0.470,	-0.090,	-0.280,	0.018,	0.057,	0.158,	-0.986,	7.00
15:30:46.22,	0.042,	-0.046,	-0.131,	-0.510,	-0.110,	-0.300,	0.017,	0.057,	0.157,	-0.986,	7.00
15:30:46.27,	0.041,	-0.051,	-0.129,	-0.480,	-0.130,	-0.390,	0.016,	0.057,	0.154,	-0.986,	7.00
15:30:46.31,	0.052,	-0.044,	-0.132,	-0.500,	-0.160,	-0.410,	0.015,	0.057,	0.152,	-0.987,	7.00
15:30:46.36,	0.053,	-0.040,	-0.132,	-0.490,	-0.180,	-0.460,	0.014,	0.057,	0.150,	-0.987,	7.00
15:30:46.41,	0.038,	-0.033,	-0.129,	-0.480,	-0.210,	-0.490,	0.013,	0.056,	0.148,	-0.987,	7.00
