System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
15:36:56.79,	05:04:55,	-34.6166076667,	148.246460667,	32668.8
15:36:57.79,	05:04:56,	-34.6165986667,	148.246307667,	32677.1
15:36:58.80,	05:04:57,	-34.6165966667,	148.246181667,	32685.5
15:36:59.80,	05:04:58,	-34.6165976667,	148.246079833,	32694.2
15:37:00.80,	05:04:59,	-34.6166033333,	148.245998167,	32702.6
15:37:01.80,	05:05:00,	-34.6166108333,	148.2459285,	32709.7
15:37:02.80,	05:05:01,	-34.6166196667,	148.245870833,	32716.4
15:37:03.80,	05:05:02,	-34.616629,	148.245815333,	32723.7
15:37:04.80,	05:05:03,	-34.6166388333,	148.2457475,	32731.8
15:37:05.80,	05:05:04,	-34.6166533333,	148.245653333,	32740.7
15:37:06.80,	05:05:05,	-34.6166718333,	148.245530333,	32749.4
15:37:07.80,	05:05:06,	-34.6166941667,	148.245376667,	32756.9
15:37:08.80,	05:05:07,	-34.6167176667,	148.2452035,	32764.1
15:37:09.80,	05:05:08,	-34.6167401667,	148.245025833,	32772.3
15:37:10.80,	05:05:09,	-34.6167648333,	148.244862,	32780.8
15:37:11.80,	05:05:10,	-34.6167923333,	148.244721833,	32789.6
15:37:12.80,	05:05:11,	-34.6168185,	148.2446065,	32797.8
15:37:13.80,	05:05:12,	-34.6168388333,	148.244511167,	32804.9
15:37:14.80,	05:05:13,	-34.6168463333,	148.244425167,	32811.6
15:37:15.80,	05:05:14,	-34.6168415,	148.244335167,	32819.3
15:37:16.80,	05:05:15,	-34.6168331667,	148.244227667,	32827.5
15:37:17.79,	05:05:16,	-34.6168351667,	148.244087333,	32836.3
15:37:18.80,	05:05:17,	-34.616852,	148.243923333,	32844.8
15:37:19.80,	05:05:18,	-34.616883,	148.243742167,	32852.8
15:37:20.80,	05:05:19,	-34.6169238333,	148.243551167,	32860.6
15:37:21.80,	05:05:20,	-34.6169655,	148.243358333,	32868.9
15:37:22.80,	05:05:21,	-34.6170063333,	148.243175167,	32877.3
15:37:23.79,	05:05:22,	-34.6170413333,	148.243009833,	32887.0
15:37:24.79,	05:05:23,	-34.6170725,	148.242861833,	32896.1
15:37:25.80,	05:05:24,	-34.617111,	148.242737667,	32904.4
15:37:26.79,	05:05:25,	-34.6171586667,	148.242626333,	32912.6
15:37:27.79,	05:05:26,	-34.6172178333,	148.2425225,	32920.9
15:37:28.79,	05:05:27,	-34.6172801667,	148.242407,	32928.9
15:37:29.80,	05:05:28,	-34.6173445,	148.242265333,	32936.8
15:37:30.80,	05:05:29,	-34.6174088333,	148.242104333,	32944.6
15:37:31.80,	05:05:30,	-34.6174811667,	148.241923833,	32952.2
15:37:32.80,	05:05:31,	-34.6175613333,	148.241731333,	32959.6
15:37:33.80,	05:05:32,	-34.6176431667,	148.241535667,	32966.7
15:37:34.80,	05:05:33,	-34.6177248333,	148.241347333,	32974.6
15:37:35.80,	05:05:34,	-34.6177965,	148.241172167,	32982.4
15:37:36.80,	05:05:35,	-34.617863,	148.2410135,	32991.4
15:37:37.80,	05:05:36,	-34.6179235,	148.240874,	33000.2
15:37:38.80,	05:05:37,	-34.6179826667,	148.240744167,	33007.5
15:37:39.80,	05:05:38,	-34.6180416667,	148.240630167,	33014.2
15:37:40.80,	05:05:39,	-34.618102,	148.240521167,	33021.3
15:37:41.80,	05:05:40,	-34.6181671667,	148.240400833,	33029.7
15:37:42.79,	05:05:41,	-34.6182363333,	148.2402515,	33038.6
15:37:43.80,	05:05:42,	-34.618319,	148.2400805,	33047.1
15:37:44.80,	05:05:43,	-34.6184151667,	148.239892167,	33054.8
15:37:45.80,	05:05:44,	-34.6185201667,	148.239695667,	33062.2
15:37:46.80,	05:05:45,	-34.6186256667,	148.239498167,	33068.6
15:37:47.80,	05:05:46,	-34.6187236667,	148.239310833,	33075.7
15:37:48.80,	05:05:47,	-34.6188128333,	148.239143667,	33083.3
15:37:49.80,	05:05:48,	-34.6188995,	148.2389975,	33091.5
15:37:50.80,	05:05:49,	-34.6189826667,	148.238871333,	33099.4
15:37:51.80,	05:05:50,	-34.619062,	148.2387615,	33106.9
15:37:52.80,	05:05:51,	-34.619131,	148.238666167,	33114.1
15:37:53.80,	05:05:52,	-34.6191846667,	148.238577167,	33121.0
15:37:54.79,	05:05:53,	-34.6192411667,	148.238496333,	33127.3
15:37:55.80,	05:05:54,	-34.6193043333,	148.238412167,	33125.9
15:37:56.79,	05:05:55,	-34.6193681667,	148.238334333,	33112.8
15:37:57.79,	05:05:56,	-34.6194363333,	148.238243833,	33094.5
15:37:58.79,	05:05:57,	-34.619503,	148.238164333,	33067.5
15:37:59.80,	05:05:58,	-34.6195638333,	148.238076667,	33030.7
15:38:00.80,	05:05:59,	-34.6196275,	148.237976,	32986.3
15:38:01.80,	05:06:00,	-34.6196878333,	148.237868,	32933.5
15:38:02.79,	05:06:01,	-34.619739,	148.237764167,	32873.9
15:38:03.80,	05:06:02,	-34.619799,	148.237660333,	32809.8
15:38:04.80,	05:06:03,	-34.6198596667,	148.2375495,	32740.8
15:38:05.79,	05:06:04,	-34.6199061667,	148.237433333,	32670.8
15:38:06.80,	05:06:05,	-34.6199393333,	148.237319,	32597.9
15:38:07.80,	05:06:06,	-34.6199875,	148.2372065,	32520.5
15:38:08.79,	05:06:07,	-34.6200308333,	148.237090333,	32442.6
15:38:09.80,	05:06:08,	-34.6200503333,	148.236984,	32363.5
15:38:10.80,	05:06:09,	-34.6200586667,	148.236885,	32284.1
15:38:11.80,	05:06:10,	-34.6200768333,	148.236787,	32203.4
15:38:12.80,	05:06:11,	-34.620097,	148.236687167,	32123.4
15:38:13.80,	05:06:12,	-34.6201006667,	148.236605,	32042.7
15:38:14.79,	05:06:13,	-34.6200831667,	148.236531667,	31962.2
15:38:15.80,	05:06:14,	-34.6200688333,	148.236440833,	31881.9
15:38:16.79,	05:06:15,	-34.6200733333,	148.236341833,	31801.9
15:38:17.80,	05:06:16,	-34.6200806667,	148.2362785,	31721.4
15:38:18.80,	05:06:17,	-34.6200846667,	148.236249667,	31640.8
15:38:19.80,	05:06:18,	-34.6200831667,	148.236215333,	31561.0
15:38:20.80,	05:06:19,	-34.620091,	148.236162167,	31482.2
15:38:21.80,	05:06:20,	-34.6201158333,	148.236115667,	31402.6
15:38:22.80,	05:06:21,	-34.6201453333,	148.236088833,	31323.9
15:38:23.80,	05:06:22,	-34.6201566667,	148.236059333,	31245.8
15:38:24.80,	05:06:23,	-34.6201638333,	148.236009167,	31167.9
15:38:25.80,	05:06:24,	-34.6201955,	148.235956,	31090.7
15:38:26.80,	05:06:25,	-34.6202325,	148.235917333,	31013.6
15:38:27.80,	05:06:26,	-34.6202433333,	148.235883667,	30936.3
15:38:28.80,	05:06:27,	-34.6202465,	148.2358465,	30859.7
15:38:29.80,	05:06:28,	-34.6202696667,	148.235801167,	30783.6
15:38:30.80,	05:06:29,	-34.620314,	148.235751333,	30708.5
15:38:31.80,	05:06:30,	-34.6203771667,	148.235706667,	30634.2
15:38:32.80,	05:06:31,	-34.6204626667,	148.235682,	30560.3
15:38:33.80,	05:06:32,	-34.6205471667,	148.235683833,	30486.8
15:38:34.80,	05:06:33,	-34.6206086667,	148.235714333,	30413.8
15:38:35.80,	05:06:34,	-34.620638,	148.2357305,	30341.2
15:38:36.80,	05:06:35,	-34.620666,	148.235716833,	30269.0
15:38:37.79,	05:06:36,	-34.620712,	148.235708167,	30197.4
15:38:38.79,	05:06:37,	-34.6207461667,	148.235713333,	30126.1
15:38:39.80,	05:06:38,	-34.620765,	148.2357015,	30055.5
15:38:40.80,	05:06:39,	-34.6208026667,	148.235688667,	29985.3
