System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
15:32:02.79,	05:00:01,	-34.6133208333,	148.255027833,	30466.6
15:32:03.80,	05:00:02,	-34.6133596667,	148.255010333,	30473.4
15:32:04.80,	05:00:03,	-34.6134055,	148.254994833,	30479.6
15:32:05.80,	05:00:04,	-34.6134545,	148.254983833,	30485.9
15:32:06.79,	05:00:05,	-34.6134981667,	148.254977167,	30492.6
15:32:07.80,	05:00:06,	-34.6135323333,	148.254973,	30499.7
15:32:08.80,	05:00:07,	-34.6135543333,	148.254971,	30507.5
15:32:09.81,	05:00:08,	-34.6135716667,	148.254974,	30515.9
15:32:10.79,	05:00:09,	-34.61357,	148.254985333,	30522.9
15:32:11.80,	05:00:10,	-34.6135518333,	148.255008833,	30528.8
15:32:12.80,	05:00:11,	-34.613519,	148.255034,	30535.0
15:32:13.80,	05:00:12,	-34.6134798333,	148.255044833,	30542.0
15:32:14.80,	05:00:13,	-34.6134555,	148.255038,	30550.3
15:32:15.80,	05:00:14,	-34.6134518333,	148.255024,	30558.9
15:32:16.80,	05:00:15,	-34.6134688333,	148.255017333,	30567.1
15:32:17.80,	05:00:16,	-34.6134981667,	148.255012167,	30573.9
15:32:18.80,	05:00:17,	-34.6135358333,	148.255003167,	30580.4
15:32:19.80,	05:00:18,	-34.6135708333,	148.254985667,	30588.0
15:32:20.80,	05:00:19,	-34.6135908333,	148.254958,	30596.1
15:32:21.80,	05:00:20,	-34.6135893333,	148.254931,	30603.6
15:32:22.80,	05:00:21,	-34.6135653333,	148.254907167,	30610.4
15:32:23.80,	05:00:22,	-34.6135173333,	148.2548945,	30617.6
15:32:24.80,	05:00:23,	-34.6134723333,	148.254883333,	30626.5
15:32:25.80,	05:00:24,	-34.6134538333,	148.2548635,	30634.6
15:32:26.80,	05:00:25,	-34.6134611667,	148.254838,	30640.0
15:32:27.80,	05:00:26,	-34.6135046667,	148.254817833,	30646.0
15:32:28.80,	05:00:27,	-34.6135688333,	148.2548085,	30654.2
15:32:29.80,	05:00:28,	-34.6136206667,	148.2548035,	30662.9
15:32:30.80,	05:00:29,	-34.6136365,	148.254799,	30671.3
15:32:31.80,	05:00:30,	-34.6136201667,	148.254794333,	30678.7
15:32:32.80,	05:00:31,	-34.6135843333,	148.254782667,	30685.2
15:32:33.80,	05:00:32,	-34.6135546667,	148.254772,	30692.5
15:32:34.80,	05:00:33,	-34.613542,	148.254761,	30700.3
15:32:35.80,	05:00:34,	-34.613553,	148.2547505,	30708.3
15:32:36.80,	05:00:35,	-34.6135891667,	148.254739,	30715.9
15:32:37.80,	05:00:36,	-34.6136465,	148.254723167,	30722.6
15:32:38.80,	05:00:37,	-34.6137155,	148.254703,	30729.6
15:32:39.80,	05:00:38,	-34.6137796667,	148.2546795,	30737.4
15:32:40.80,	05:00:39,	-34.6138263333,	148.254657667,	30746.0
15:32:41.80,	05:00:40,	-34.6138468333,	148.254638833,	30754.2
15:32:42.80,	05:00:41,	-34.6138416667,	148.254625333,	30761.0
15:32:43.79,	05:00:42,	-34.6138193333,	148.254621,	30767.6
15:32:44.80,	05:00:43,	-34.613798,	148.2546215,	30775.1
15:32:45.80,	05:00:44,	-34.613796,	148.254619833,	30782.8
15:32:46.80,	05:00:45,	-34.6138178333,	148.2546115,	30790.6
15:32:47.80,	05:00:46,	-34.6138558333,	148.254594333,	30797.9
15:32:48.80,	05:00:47,	-34.6139098333,	148.2545755,	30804.3
15:32:49.80,	05:00:48,	-34.6139788333,	148.254554833,	30810.7
15:32:50.80,	05:00:49,	-34.6140496667,	148.2545275,	30817.7
15:32:51.80,	05:00:50,	-34.614108,	148.254490167,	30825.5
15:32:52.80,	05:00:51,	-34.6141448333,	148.2544455,	30833.3
15:32:53.80,	05:00:52,	-34.614155,	148.254398667,	30841.0
15:32:54.80,	05:00:53,	-34.6141501667,	148.254360833,	30848.1
15:32:55.80,	05:00:54,	-34.6141378333,	148.254346,	30855.1
15:32:56.80,	05:00:55,	-34.6141295,	148.2543535,	30862.2
15:32:57.80,	05:00:56,	-34.6141366667,	148.254364333,	30869.8
15:32:58.80,	05:00:57,	-34.6141638333,	148.254368333,	30877.7
15:32:59.80,	05:00:58,	-34.6142091667,	148.254355,	30885.0
15:33:00.80,	05:00:59,	-34.6142781667,	148.254332,	30891.1
15:33:01.81,	05:01:00,	-34.61436,	148.254302833,	30896.8
15:33:02.80,	05:01:01,	-34.6144416667,	148.254277833,	30903.3
15:33:03.80,	05:01:02,	-34.6145075,	148.254261167,	30910.7
15:33:04.80,	05:01:03,	-34.6145531667,	148.254252833,	30919.0
15:33:05.80,	05:01:04,	-34.614585,	148.2542455,	30926.6
15:33:06.80,	05:01:05,	-34.6146006667,	148.254235333,	30933.6
15:33:07.80,	05:01:06,	-34.6145996667,	148.254222,	30940.0
15:33:08.80,	05:01:07,	-34.614593,	148.254209,	30947.3
15:33:09.80,	05:01:08,	-34.6145948333,	148.254199333,	30955.6
15:33:10.80,	05:01:09,	-34.6146153333,	148.2541955,	30964.0
15:33:11.80,	05:01:10,	-34.6146595,	148.254194667,	30971.4
15:33:12.80,	05:01:11,	-34.6147281667,	148.254190667,	30978.0
15:33:13.80,	05:01:12,	-34.6148041667,	148.254178833,	30984.2
15:33:14.80,	05:01:13,	-34.6148763333,	148.254161667,	30991.3
15:33:15.80,	05:01:14,	-34.6149263333,	148.254146167,	30998.9
15:33:16.80,	05:01:15,	-34.6149523333,	148.254139167,	31006.8
15:33:17.80,	05:01:16,	-34.6149596667,	148.254143333,	31014.1
15:33:18.80,	05:01:17,	-34.6149548333,	148.254156167,	31020.8
15:33:19.80,	05:01:18,	-34.6149408333,	148.254163833,	31027.9
15:33:20.80,	05:01:19,	-34.614927,	148.254159,	31035.1
15:33:21.80,	05:01:20,	-34.6149268333,	148.254135667,	31042.7
15:33:22.80,	05:01:21,	-34.6149431667,	148.254100333,	31050.5
15:33:23.80,	05:01:22,	-34.6149748333,	148.254056833,	31057.8
15:33:24.80,	05:01:23,	-34.6150136667,	148.254006667,	31064.8
15:33:25.80,	05:01:24,	-34.6150551667,	148.2539435,	31071.2
15:33:26.80,	05:01:25,	-34.6150965,	148.2538695,	31077.9
15:33:27.80,	05:01:26,	-34.6151381667,	148.253799833,	31085.3
15:33:28.80,	05:01:27,	-34.615183,	148.2537475,	31093.6
15:33:29.80,	05:01:28,	-34.6152203333,	148.253723,	31101.6
15:33:30.80,	05:01:29,	-34.6152403333,	148.253727,	31108.6
15:33:31.80,	05:01:30,	-34.6152396667,	148.25375,	31114.2
15:33:32.80,	05:01:31,	-34.6152285,	148.253782167,	31120.1
15:33:33.80,	05:01:32,	-34.6152283333,	148.253810333,	31128.1
15:33:34.80,	05:01:33,	-34.6152491667,	148.253818833,	31136.4
15:33:35.80,	05:01:34,	-34.6152853333,	148.253808333,	31145.0
15:33:36.80,	05:01:35,	-34.6153298333,	148.253780167,	31153.1
15:33:37.80,	05:01:36,	-34.6153668333,	148.253734833,	31159.5
15:33:38.80,	05:01:37,	-34.6153985,	148.253677333,	31166.0
15:33:39.80,	05:01:38,	-34.6154293333,	148.25362,	31173.0
15:33:40.80,	05:01:39,	-34.615465,	148.253578167,	31180.6
15:33:41.80,	05:01:40,	-34.6155023333,	148.253554667,	31188.7
15:33:42.80,	05:01:41,	-34.6155348333,	148.253547667,	31197.0
15:33:43.80,	05:01:42,	-34.6155545,	148.2535545,	31204.2
15:33:44.80,	05:01:43,	-34.6155616667,	148.253575167,	31210.4
15:33:45.80,	05:01:44,	-34.6155728333,	148.253612167,	31217.2
15:33:46.80,	05:01:45,	-34.615599,	148.253651833,	31224.3
15:33:47.80,	05:01:46,	-34.6156468333,	148.253679833,	31232.5
15:33:48.80,	05:01:47,	-34.6157013333,	148.2536875,	31241.0
15:33:49.81,	05:01:48,	-34.6157485,	148.253668333,	31248.2
15:33:50.80,	05:01:49,	-34.6157873333,	148.2536255,	31254.3
15:33:51.80,	05:01:50,	-34.615827,	148.253564,	31260.6
15:33:52.80,	05:01:51,	-34.6158746667,	148.253504333,	31267.9
15:33:53.80,	05:01:52,	-34.6159296667,	148.253467167,	31275.5
15:33:54.80,	05:01:53,	-34.6159905,	148.2534575,	31283.9
15:33:55.80,	05:01:54,	-34.6160393333,	148.253466667,	31291.7
15:33:56.80,	05:01:55,	-34.6160818333,	148.2534945,	31298.5
15:33:57.80,	05:01:56,	-34.616114,	148.253534,	31304.7
15:33:58.80,	05:01:57,	-34.6161481667,	148.253578833,	31311.6
15:33:59.80,	05:01:58,	-34.6161955,	148.253614833,	31319.4
15:34:00.80,	05:01:59,	-34.616255,	148.253631,	31328.2
15:34:01.80,	05:02:00,	-34.6163135,	148.253621,	31336.2
15:34:02.80,	05:02:01,	-34.6163616667,	148.2535845,	31343.1
15:34:03.80,	05:02:02,	-34.6163983333,	148.253527833,	31350.2
