System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
13:22:33.27,		,	0.0,	0.0,	None
13:22:34.27,		,	0.0,	0.0,	None
13:22:35.27,		,	0.0,	0.0,	None
13:22:36.27,		,	0.0,	0.0,	None
13:22:37.28,		,	0.0,	0.0,	None
13:22:38.27,		,	0.0,	0.0,	None
13:22:39.27,		,	0.0,	0.0,	None
13:22:40.27,		,	0.0,	0.0,	None
13:22:41.28,		,	0.0,	0.0,	None
13:22:42.27,		,	0.0,	0.0,	None
13:22:43.27,		,	0.0,	0.0,	None
13:22:44.27,		,	0.0,	0.0,	None
13:22:45.27,		,	0.0,	0.0,	None
13:22:46.27,		,	0.0,	0.0,	None
13:22:47.27,		,	0.0,	0.0,	None
13:22:48.28,		,	0.0,	0.0,	None
13:22:49.27,		,	0.0,	0.0,	None
13:22:50.27,		,	0.0,	0.0,	None
13:22:51.27,		,	0.0,	0.0,	None
13:22:52.27,		,	0.0,	0.0,	None
13:22:53.27,		,	0.0,	0.0,	None
13:22:54.27,		,	0.0,	0.0,	None
13:22:55.27,		,	0.0,	0.0,	None
13:22:56.28,		,	0.0,	0.0,	None
13:22:57.28,		,	0.0,	0.0,	None
13:22:58.27,		,	0.0,	0.0,	None
13:22:59.28,		,	0.0,	0.0,	None
13:23:00.28,		,	0.0,	0.0,	None
13:23:01.27,		,	0.0,	0.0,	None
13:23:02.28,		,	0.0,	0.0,	None
13:23:03.27,		,	0.0,	0.0,	None
13:23:04.27,		,	0.0,	0.0,	None
13:23:05.27,		,	0.0,	0.0,	None
13:23:06.27,		,	0.0,	0.0,	None
13:23:07.27,		,	0.0,	0.0,	None
13:23:08.27,		,	0.0,	0.0,	None
13:23:09.27,		,	0.0,	0.0,	None
13:23:10.27,		,	0.0,	0.0,	None
13:23:11.27,		,	0.0,	0.0,	None
13:23:12.27,		,	0.0,	0.0,	None
13:23:13.27,		,	0.0,	0.0,	None
13:23:14.27,		,	0.0,	0.0,	None
13:23:15.27,		,	0.0,	0.0,	None
13:23:16.27,		,	0.0,	0.0,	None
13:23:17.27,		,	0.0,	0.0,	None
13:23:18.28,		,	0.0,	0.0,	None
13:23:19.28,		,	0.0,	0.0,	None
13:23:20.27,		,	0.0,	0.0,	None
13:23:21.28,		,	0.0,	0.0,	None
13:23:22.27,		,	0.0,	0.0,	None
13:23:23.27,		,	0.0,	0.0,	None
13:23:24.27,		,	0.0,	0.0,	None
13:23:25.27,		,	0.0,	0.0,	None
13:23:26.27,		,	0.0,	0.0,	None
13:23:27.27,		,	0.0,	0.0,	None
13:23:28.27,		,	0.0,	0.0,	None
13:23:29.27,		,	0.0,	0.0,	None
13:23:30.28,		,	0.0,	0.0,	None
13:23:31.27,		,	0.0,	0.0,	None
13:23:32.27,		,	0.0,	0.0,	None
13:23:33.27,		,	0.0,	0.0,	None
13:23:34.27,		,	0.0,	0.0,	None
13:23:35.27,		,	0.0,	0.0,	None
13:23:36.27,		,	0.0,	0.0,	None
13:23:37.28,		,	0.0,	0.0,	None
13:23:38.28,		,	0.0,	0.0,	None
13:23:39.28,		,	0.0,	0.0,	None
13:23:40.28,		,	0.0,	0.0,	None
13:23:41.27,		,	0.0,	0.0,	None
13:23:42.27,		,	0.0,	0.0,	None
13:23:43.27,		,	0.0,	0.0,	None
13:23:44.27,		,	0.0,	0.0,	None
13:23:45.27,		,	0.0,	0.0,	None
13:23:46.27,		,	0.0,	0.0,	None
13:23:47.27,		,	0.0,	0.0,	None
13:23:48.28,		,	0.0,	0.0,	None
13:23:49.27,		,	0.0,	0.0,	None
13:23:50.27,		,	0.0,	0.0,	None
13:23:51.27,		,	0.0,	0.0,	None
13:23:52.28,		,	0.0,	0.0,	None
13:23:53.27,		,	0.0,	0.0,	None
13:23:54.28,		,	0.0,	0.0,	None
13:23:55.27,		,	0.0,	0.0,	None
13:23:56.28,		,	0.0,	0.0,	None
13:23:57.28,		,	0.0,	0.0,	None
13:23:58.27,		,	0.0,	0.0,	None
13:23:59.27,		,	0.0,	0.0,	None
13:24:00.27,		,	0.0,	0.0,	None
13:24:01.27,		,	0.0,	0.0,	None
13:24:02.28,		,	0.0,	0.0,	None
13:24:03.28,		,	0.0,	0.0,	None
13:24:04.28,		,	0.0,	0.0,	None
13:24:05.27,		,	0.0,	0.0,	None
13:24:06.27,		,	0.0,	0.0,	None
13:24:07.28,		,	0.0,	0.0,	None
13:24:08.27,		,	0.0,	0.0,	None
13:24:09.27,		,	0.0,	0.0,	None
13:24:10.28,		,	0.0,	0.0,	None
13:24:11.27,		,	0.0,	0.0,	None
13:24:12.27,		,	0.0,	0.0,	None
13:24:13.27,		,	0.0,	0.0,	None
13:24:14.28,		,	0.0,	0.0,	None
13:24:15.27,		,	0.0,	0.0,	None
13:24:16.27,		,	0.0,	0.0,	None
13:24:17.27,		,	0.0,	0.0,	None
13:24:18.28,		,	0.0,	0.0,	None
13:24:19.27,		,	0.0,	0.0,	None
13:24:20.28,		,	0.0,	0.0,	None
13:24:21.28,		,	0.0,	0.0,	None
13:24:22.27,		,	0.0,	0.0,	None
13:24:23.27,		,	0.0,	0.0,	None
13:24:24.28,		,	0.0,	0.0,	None
13:24:25.28,		,	0.0,	0.0,	None
13:24:26.27,		,	0.0,	0.0,	None
13:24:27.28,		,	0.0,	0.0,	None
13:24:28.27,		,	0.0,	0.0,	None
13:24:29.28,		,	0.0,	0.0,	None
13:24:30.28,		,	0.0,	0.0,	None
13:24:31.28,		,	0.0,	0.0,	None
13:24:32.28,		,	0.0,	0.0,	None
13:24:32.71,	02:52:34,	0.0,	0.0,	None
13:24:33.71,	02:52:35,	0.0,	0.0,	None
13:24:34.71,	02:52:36,	0.0,	0.0,	None
13:24:35.71,	02:52:37,	0.0,	0.0,	None
13:24:36.88,	02:52:38,	0.0,	0.0,	None
13:24:37.71,	02:52:39,	0.0,	0.0,	None
13:24:38.71,	02:52:40,	0.0,	0.0,	None
13:24:39.71,	02:52:41,	0.0,	0.0,	None
13:24:40.71,	02:52:42,	0.0,	0.0,	None
13:24:41.71,	02:52:43,	0.0,	0.0,	None
13:24:42.88,	02:52:44,	0.0,	0.0,	None
13:24:43.71,	02:52:45,	0.0,	0.0,	None
13:24:44.71,	02:52:46,	0.0,	0.0,	None
13:24:45.71,	02:52:47,	0.0,	0.0,	None
13:24:46.71,	02:52:48,	0.0,	0.0,	None
13:24:47.71,	02:52:49,	0.0,	0.0,	None
13:24:48.88,	02:52:50,	0.0,	0.0,	None
13:24:49.71,	02:52:51,	0.0,	0.0,	None
13:24:50.71,	02:52:52,	0.0,	0.0,	None
13:24:51.71,	02:52:53,	0.0,	0.0,	None
13:24:52.71,	02:52:54,	0.0,	0.0,	None
13:24:53.71,	02:52:55,	0.0,	0.0,	None
13:24:54.80,	02:52:56,	0.0,	0.0,	None
13:24:55.67,	02:52:57,	0.0,	0.0,	None
13:24:56.67,	02:52:58,	0.0,	0.0,	None
13:24:57.67,	02:52:59,	0.0,	0.0,	None
13:24:58.67,	02:53:00,	0.0,	0.0,	None
13:24:59.67,	02:53:01,	0.0,	0.0,	None
13:25:00.83,	02:53:02,	0.0,	0.0,	None
13:25:01.67,	02:53:03,	0.0,	0.0,	None
13:25:02.67,	02:53:04,	0.0,	0.0,	None
13:25:03.67,	02:53:05,	0.0,	0.0,	None
13:25:04.67,	02:53:06,	0.0,	0.0,	None
13:25:05.67,	02:53:07,	0.0,	0.0,	None
13:25:06.83,	02:53:08,	0.0,	0.0,	None
13:25:07.67,	02:53:09,	0.0,	0.0,	None
13:25:08.68,	02:53:10,	0.0,	0.0,	None
13:25:09.67,	02:53:11,	0.0,	0.0,	None
13:25:10.68,	02:53:12,	0.0,	0.0,	None
13:25:11.67,	02:53:13,	0.0,	0.0,	None
13:25:12.83,	02:53:14,	0.0,	0.0,	None
13:25:13.67,	02:53:15,	0.0,	0.0,	None
13:25:14.67,	02:53:16,	0.0,	0.0,	None
13:25:15.67,	02:53:17,	0.0,	0.0,	None
13:25:16.67,	02:53:18,	0.0,	0.0,	None
13:25:17.67,	02:53:19,	0.0,	0.0,	None
13:25:18.83,	02:53:20,	0.0,	0.0,	None
13:25:19.67,	02:53:21,	0.0,	0.0,	None
13:25:20.67,	02:53:22,	0.0,	0.0,	None
13:25:21.67,	02:53:23,	0.0,	0.0,	None
13:25:22.67,	02:53:24,	0.0,	0.0,	None
13:25:23.67,	02:53:25,	0.0,	0.0,	None
13:25:24.83,	02:53:26,	0.0,	0.0,	None
13:25:25.67,	02:53:27,	0.0,	0.0,	None
13:25:26.67,	02:53:28,	0.0,	0.0,	None
13:25:27.68,	02:53:29,	0.0,	0.0,	None
13:25:28.68,	02:53:30,	0.0,	0.0,	None
